amount,merchant_category,payment_method,country,city,transaction_hour,is_night_transaction,scenario,fraud_label
99.47,Fuel,Wallet,India,Bangalore,15,0,NORMAL,0
6231.59,Luxury,Credit Card,Iran,Tehran,15,0,FRAUD,1
3986.63,Electronics,Debit Card,India,Mumbai,15,0,NORMAL,0
108.0,Transportation,UPI,India,Mumbai,15,0,NORMAL,0
148.43,Pharmacy,UPI,Germany,Berlin,15,0,NORMAL,0
2389.33,Travel,UPI,UK,London,15,0,NORMAL,0
3659.44,Electronics,Wallet,USA,Chicago,15,0,SUSPICIOUS,0
1512.06,Travel,Wallet,India,Bangalore,15,0,NORMAL,0
98.25,Pharmacy,Net Banking,India,Bangalore,15,0,NORMAL,0
382.88,Travel,Net Banking,Singapore,Singapore,15,0,NORMAL,0
2156.72,Electronics,Wallet,India,Bangalore,15,0,NORMAL,0
30.76,Pharmacy,UPI,USA,Chicago,15,0,NORMAL,0
57.47,Fuel,Credit Card,USA,New York,15,0,NORMAL,0
2649.11,Travel,Net Banking,UK,London,15,0,NORMAL,0
76.78,Transportation,UPI,Canada,Toronto,15,0,NORMAL,0
585.41,Travel,Credit Card,Canada,Toronto,15,0,NORMAL,0
2648.07,Travel,Debit Card,Singapore,Singapore,15,0,SUSPICIOUS,0
127.11,Pharmacy,Wallet,India,Mumbai,15,0,NORMAL,0
2954.79,Luxury,Debit Card,USA,New York,15,0,NORMAL,0
1097.05,Travel,Net Banking,USA,Chicago,15,0,NORMAL,0
100.48,Transportation,Wallet,Canada,Toronto,15,0,NORMAL,0
6101.16,Electronics,Credit Card,Russia,Moscow,15,0,FRAUD,1
122.46,Pharmacy,UPI,Singapore,Singapore,15,0,NORMAL,0
776.6,Travel,Net Banking,India,Bangalore,15,0,NORMAL,0
42.59,Pharmacy,UPI,India,Bangalore,15,0,NORMAL,0
380.27,Retail,Wallet,USA,Chicago,15,0,NORMAL,0
7252.8,Luxury,Credit Card,Russia,Moscow,15,0,FRAUD,1
4885.69,Electronics,Net Banking,India,Bangalore,15,0,NORMAL,0
216.54,Retail,Wallet,India,Bangalore,15,0,NORMAL,0
83.88,Pharmacy,Net Banking,USA,New York,15,0,NORMAL,0
6488.18,Luxury,Net Banking,Canada,Toronto,15,0,NORMAL,0
63.61,Transportation,UPI,India,Bangalore,15,0,NORMAL,0
13.47,Food,Wallet,UK,London,15,0,NORMAL,0
4562.43,Luxury,Wallet,Germany,Berlin,15,0,NORMAL,0
75.87,Food,Wallet,USA,New York,15,0,NORMAL,0
111.35,Fuel,Wallet,Germany,Berlin,15,0,NORMAL,0
6165.35,Electronics,Credit Card,Iran,Tehran,15,0,FRAUD,1
213.82,Retail,Credit Card,India,Bangalore,15,0,NORMAL,0
1322.64,Electronics,Net Banking,India,Mumbai,15,0,NORMAL,0
847.39,Travel,Net Banking,Singapore,Singapore,15,0,NORMAL,0
58.48,Transportation,Debit Card,UK,London,15,0,NORMAL,0
6869.88,Luxury,Credit Card,Germany,Berlin,15,0,NORMAL,0
3363.27,Electronics,UPI,India,Mumbai,15,0,SUSPICIOUS,0
1161.09,Travel,Debit Card,India,Mumbai,15,0,NORMAL,0
2987.98,Travel,Net Banking,UK,London,15,0,NORMAL,0
2047.88,Travel,Net Banking,Canada,Toronto,15,0,NORMAL,0
27.06,Pharmacy,Net Banking,USA,Chicago,15,0,NORMAL,0
3325.84,Travel,Wallet,Germany,Berlin,15,0,SUSPICIOUS,0
1785.53,Luxury,UPI,India,Bangalore,15,0,NORMAL,0
3096.56,Electronics,Wallet,UK,London,15,0,SUSPICIOUS,0
2916.7,Travel,UPI,India,Bangalore,15,0,NORMAL,0
32.04,Food,Credit Card,Singapore,Singapore,15,0,NORMAL,0
43.76,Food,UPI,UK,London,15,0,NORMAL,0
1636.1,Electronics,UPI,USA,New York,15,0,NORMAL,0
26.57,Food,Wallet,India,Mumbai,15,0,NORMAL,0
35.74,Fuel,Wallet,India,Mumbai,15,0,NORMAL,0
246.91,Retail,UPI,UK,London,15,0,NORMAL,0
489.49,Retail,Credit Card,Canada,Toronto,15,0,NORMAL,0
1398.96,Luxury,Wallet,Germany,Berlin,15,0,NORMAL,0
22.92,Food,Credit Card,USA,Chicago,15,0,NORMAL,0
434.4,Retail,Debit Card,Canada,Toronto,15,0,NORMAL,0
6431.17,Luxury,Debit Card,UK,London,15,0,NORMAL,0
112.69,Gaming,Wallet,USA,New York,15,0,NORMAL,0
3074.17,Luxury,Debit Card,Germany,Berlin,15,0,NORMAL,0
191.77,Gaming,Net Banking,UK,London,15,0,NORMAL,0
483.21,Electronics,Net Banking,USA,New York,15,0,NORMAL,0
67.09,Food,UPI,UK,London,15,0,NORMAL,0
7175.36,Electronics,Credit Card,Russia,Moscow,15,0,FRAUD,1
110.02,Fuel,Credit Card,India,Bangalore,15,0,NORMAL,0
896.19,Travel,UPI,Singapore,Singapore,15,0,NORMAL,0
7616.39,Luxury,Credit Card,India,Mumbai,15,0,NORMAL,0
7873.44,Electronics,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
127.9,Pharmacy,UPI,USA,Chicago,15,0,NORMAL,0
1149.84,Electronics,UPI,India,Mumbai,15,0,NORMAL,0
144.12,Pharmacy,Credit Card,India,Bangalore,15,0,NORMAL,0
492.49,Electronics,Net Banking,USA,Chicago,15,0,NORMAL,0
2096.92,Travel,Debit Card,USA,New York,15,0,NORMAL,0
61.82,Transportation,Net Banking,USA,New York,15,0,NORMAL,0
236.68,Retail,Debit Card,Canada,Toronto,15,0,NORMAL,0
2860.46,Travel,UPI,Singapore,Singapore,15,0,NORMAL,0
2067.93,Travel,Debit Card,India,Bangalore,15,0,SUSPICIOUS,0
4473.81,Luxury,Wallet,India,Mumbai,15,0,SUSPICIOUS,0
3328.86,Electronics,Wallet,Singapore,Singapore,15,0,NORMAL,0
31.92,Transportation,Credit Card,Germany,Berlin,15,0,NORMAL,0
466.27,Retail,Wallet,USA,New York,15,0,NORMAL,0
4382.39,Travel,Net Banking,Singapore,Singapore,15,0,SUSPICIOUS,0
27.95,Food,UPI,Germany,Berlin,15,0,NORMAL,0
46.31,Food,Wallet,USA,Chicago,15,0,NORMAL,0
3798.09,Electronics,Net Banking,UK,London,15,0,NORMAL,0
78.42,Transportation,UPI,Canada,Toronto,15,0,NORMAL,0
240.84,Pharmacy,Net Banking,India,Mumbai,15,0,NORMAL,0
161.09,Pharmacy,UPI,USA,Chicago,15,0,NORMAL,0
61.71,Food,Credit Card,Canada,Toronto,15,0,NORMAL,0
9.54,Food,Net Banking,Germany,Berlin,15,0,NORMAL,0
40.04,Fuel,Debit Card,Germany,Berlin,15,0,NORMAL,0
2608.5,Electronics,Wallet,UK,London,15,0,NORMAL,0
43.57,Transportation,Net Banking,India,Bangalore,15,0,NORMAL,0
656.15,Travel,Wallet,USA,New York,15,0,NORMAL,0
409.64,Retail,Credit Card,Singapore,Singapore,15,0,NORMAL,0
5577.61,Luxury,Debit Card,USA,New York,15,0,NORMAL,0
78.74,Food,Debit Card,USA,New York,15,0,NORMAL,0
4971.14,Luxury,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
48.07,Food,UPI,India,Mumbai,15,0,NORMAL,0
3274.93,Luxury,Debit Card,USA,New York,15,0,SUSPICIOUS,0
10.83,Food,Net Banking,USA,New York,15,0,NORMAL,0
8461.66,Electronics,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
217.46,Pharmacy,Wallet,India,Mumbai,15,0,NORMAL,0
1289.85,Electronics,Debit Card,UK,London,15,0,NORMAL,0
13.31,Food,Wallet,India,Mumbai,15,0,NORMAL,0
63.14,Gaming,Wallet,Germany,Berlin,15,0,NORMAL,0
7807.74,Luxury,Credit Card,Iran,Tehran,15,0,FRAUD,1
46.65,Food,Wallet,USA,Chicago,15,0,NORMAL,0
1562.9,Electronics,UPI,USA,Chicago,15,0,NORMAL,0
7011.7,Luxury,UPI,Singapore,Singapore,15,0,NORMAL,0
3088.22,Luxury,Debit Card,USA,Chicago,15,0,SUSPICIOUS,0
95.62,Transportation,Debit Card,USA,New York,15,0,NORMAL,0
51.41,Retail,Net Banking,USA,Chicago,15,0,NORMAL,0
6063.73,Luxury,Wallet,Canada,Toronto,15,0,NORMAL,0
2103.65,Electronics,Debit Card,Canada,Toronto,15,0,SUSPICIOUS,0
227.44,Pharmacy,Wallet,India,Bangalore,15,0,NORMAL,0
1459.5,Electronics,Net Banking,Germany,Berlin,15,0,NORMAL,0
5474.52,Luxury,Credit Card,Germany,Berlin,15,0,NORMAL,0
27.3,Fuel,UPI,UK,London,15,0,NORMAL,0
2696.02,Electronics,Credit Card,USA,Chicago,15,0,NORMAL,0
2959.53,Electronics,Debit Card,Germany,Berlin,15,0,NORMAL,0
44.89,Food,Debit Card,Canada,Toronto,15,0,NORMAL,0
3506.37,Electronics,Net Banking,USA,New York,15,0,SUSPICIOUS,0
3558.71,Electronics,Net Banking,UK,London,15,0,NORMAL,0
574.69,Travel,Net Banking,Canada,Toronto,15,0,NORMAL,0
67.8,Food,UPI,Singapore,Singapore,15,0,NORMAL,0
7077.29,Luxury,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
2666.09,Electronics,Wallet,USA,New York,15,0,SUSPICIOUS,0
1267.3,Luxury,Net Banking,USA,New York,15,0,NORMAL,0
3985.07,Electronics,UPI,India,Bangalore,15,0,NORMAL,0
21.41,Retail,Net Banking,Singapore,Singapore,15,0,NORMAL,0
7859.92,Luxury,Credit Card,Iran,Tehran,15,0,FRAUD,1
1921.26,Travel,Debit Card,UK,London,15,0,NORMAL,0
2593.56,Travel,Debit Card,USA,Chicago,15,0,SUSPICIOUS,0
4915.58,Luxury,Wallet,Canada,Toronto,15,0,NORMAL,0
3771.52,Electronics,Credit Card,Germany,Berlin,15,0,SUSPICIOUS,0
312.78,Retail,Wallet,Canada,Toronto,15,0,NORMAL,0
44.07,Gaming,UPI,USA,Chicago,15,0,NORMAL,0
138.55,Fuel,Net Banking,UK,London,15,0,NORMAL,0
64.41,Food,UPI,India,Mumbai,15,0,NORMAL,0
2433.12,Electronics,Debit Card,Canada,Toronto,15,0,SUSPICIOUS,0
3667.33,Luxury,Credit Card,Canada,Toronto,15,0,SUSPICIOUS,0
11.38,Transportation,Debit Card,India,Mumbai,15,0,NORMAL,0
50.79,Fuel,Net Banking,India,Mumbai,15,0,NORMAL,0
24.57,Food,Debit Card,Canada,Toronto,15,0,NORMAL,0
2990.5,Electronics,UPI,USA,New York,15,0,SUSPICIOUS,0
5255.59,Luxury,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
65.2,Pharmacy,Wallet,Germany,Berlin,15,0,NORMAL,0
69.0,Pharmacy,Net Banking,Canada,Toronto,15,0,NORMAL,0
25.7,Food,Debit Card,Germany,Berlin,15,0,NORMAL,0
134.23,Pharmacy,Debit Card,UK,London,15,0,NORMAL,0
59.24,Transportation,Debit Card,India,Mumbai,15,0,NORMAL,0
20.43,Retail,Debit Card,India,Bangalore,15,0,NORMAL,0
4513.19,Electronics,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
1950.31,Electronics,Net Banking,USA,Chicago,15,0,SUSPICIOUS,0
29.35,Gaming,Credit Card,Germany,Berlin,15,0,NORMAL,0
2836.79,Luxury,Credit Card,Germany,Berlin,15,0,SUSPICIOUS,0
46.55,Food,UPI,Germany,Berlin,15,0,NORMAL,0
98.54,Pharmacy,UPI,India,Bangalore,15,0,NORMAL,0
8167.0,Electronics,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
3076.97,Electronics,Debit Card,India,Bangalore,15,0,NORMAL,0
8072.69,Electronics,Credit Card,Russia,Moscow,15,0,FRAUD,1
1081.97,Electronics,Credit Card,Germany,Berlin,15,0,NORMAL,0
147.08,Gaming,Credit Card,USA,Chicago,15,0,NORMAL,0
4131.54,Luxury,Credit Card,India,Mumbai,15,0,NORMAL,0
1910.53,Electronics,Credit Card,Canada,Toronto,15,0,NORMAL,0
3523.13,Electronics,Net Banking,India,Bangalore,15,0,NORMAL,0
78.48,Fuel,Net Banking,India,Bangalore,15,0,NORMAL,0
2064.67,Travel,Wallet,Germany,Berlin,15,0,NORMAL,0
428.61,Retail,Net Banking,Singapore,Singapore,15,0,NORMAL,0
225.12,Retail,Credit Card,UK,London,15,0,NORMAL,0
4498.37,Luxury,Net Banking,Canada,Toronto,15,0,NORMAL,0
2189.08,Electronics,Debit Card,UK,London,15,0,NORMAL,0
4166.25,Luxury,Wallet,USA,Chicago,15,0,NORMAL,0
27.97,Fuel,UPI,USA,Chicago,15,0,NORMAL,0
3730.99,Electronics,Credit Card,Canada,Toronto,15,0,NORMAL,0
4952.53,Luxury,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
248.51,Retail,Wallet,UK,London,15,0,NORMAL,0
163.56,Pharmacy,Credit Card,USA,New York,15,0,NORMAL,0
394.84,Retail,Wallet,Singapore,Singapore,15,0,NORMAL,0
27.44,Food,Wallet,Canada,Toronto,15,0,NORMAL,0
30.83,Transportation,Debit Card,Germany,Berlin,15,0,NORMAL,0
13.4,Food,UPI,UK,London,15,0,NORMAL,0
355.24,Retail,Net Banking,India,Bangalore,15,0,NORMAL,0
4334.15,Luxury,Net Banking,UK,London,15,0,NORMAL,0
3743.79,Travel,Credit Card,Singapore,Singapore,15,0,SUSPICIOUS,0
88.28,Transportation,Credit Card,USA,Chicago,15,0,NORMAL,0
3859.25,Electronics,Net Banking,India,Mumbai,15,0,SUSPICIOUS,0
2982.32,Electronics,Credit Card,UK,London,15,0,NORMAL,0
7141.49,Electronics,Credit Card,Iran,Tehran,15,0,FRAUD,1
111.17,Transportation,Net Banking,India,Bangalore,15,0,NORMAL,0
43.58,Retail,UPI,Singapore,Singapore,15,0,NORMAL,0
83.4,Fuel,Wallet,USA,New York,15,0,NORMAL,0
424.91,Retail,Debit Card,USA,New York,15,0,NORMAL,0
253.05,Retail,Credit Card,Germany,Berlin,15,0,NORMAL,0
5332.21,Electronics,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
1368.34,Travel,Debit Card,Singapore,Singapore,15,0,NORMAL,0
3925.75,Travel,Wallet,India,Bangalore,15,0,SUSPICIOUS,0
3300.9,Luxury,Net Banking,India,Bangalore,15,0,SUSPICIOUS,0
2094.12,Electronics,Debit Card,Canada,Toronto,15,0,NORMAL,0
32.4,Transportation,Debit Card,Canada,Toronto,15,0,NORMAL,0
1714.44,Electronics,Debit Card,USA,Chicago,15,0,NORMAL,0
3078.52,Travel,Net Banking,Germany,Berlin,15,0,SUSPICIOUS,0
198.04,Retail,Net Banking,UK,London,15,0,NORMAL,0
62.0,Retail,UPI,India,Mumbai,15,0,NORMAL,0
3690.16,Electronics,Credit Card,Iran,Tehran,15,0,FRAUD,1
45.11,Food,Wallet,UK,London,15,0,NORMAL,0
252.47,Retail,UPI,Singapore,Singapore,15,0,NORMAL,0
5203.82,Luxury,Credit Card,Russia,Moscow,15,0,FRAUD,1
6621.35,Electronics,Credit Card,Russia,Moscow,15,0,FRAUD,1
2834.5,Travel,Debit Card,USA,Chicago,15,0,NORMAL,0
4085.96,Electronics,UPI,UK,London,15,0,SUSPICIOUS,0
67.98,Food,Debit Card,UK,London,15,0,NORMAL,0
34.67,Food,UPI,USA,New York,15,0,NORMAL,0
2472.53,Electronics,Debit Card,Germany,Berlin,15,0,NORMAL,0
802.62,Travel,Debit Card,Canada,Toronto,15,0,NORMAL,0
4255.94,Electronics,Credit Card,Russia,Moscow,15,0,FRAUD,1
7771.47,Electronics,Credit Card,Russia,Moscow,15,0,FRAUD,1
5.98,Food,Debit Card,Singapore,Singapore,15,0,NORMAL,0
64.98,Pharmacy,Net Banking,India,Bangalore,15,0,NORMAL,0
6994.14,Luxury,Credit Card,Iran,Tehran,15,0,FRAUD,1
8558.23,Luxury,Credit Card,Russia,Moscow,15,0,FRAUD,1
929.36,Electronics,Net Banking,Germany,Berlin,15,0,NORMAL,0
4008.63,Luxury,Credit Card,USA,Chicago,15,0,NORMAL,0
29.66,Food,UPI,India,Mumbai,15,0,NORMAL,0
3302.06,Electronics,Net Banking,USA,Chicago,15,0,SUSPICIOUS,0
70.23,Food,Wallet,USA,New York,15,0,NORMAL,0
345.08,Retail,Debit Card,India,Mumbai,15,0,NORMAL,0
1343.2,Luxury,Wallet,Canada,Toronto,15,0,NORMAL,0
318.66,Retail,Debit Card,India,Mumbai,15,0,NORMAL,0
1950.51,Travel,Debit Card,India,Bangalore,15,0,SUSPICIOUS,0
292.01,Retail,Wallet,Canada,Toronto,15,0,NORMAL,0
3529.5,Luxury,Wallet,India,Bangalore,15,0,NORMAL,0
156.47,Retail,Wallet,Germany,Berlin,15,0,NORMAL,0
11.65,Food,Debit Card,India,Bangalore,15,0,NORMAL,0
70.65,Food,Net Banking,Germany,Berlin,15,0,NORMAL,0
5722.93,Luxury,Credit Card,Russia,Moscow,15,0,FRAUD,1
1699.09,Electronics,Net Banking,USA,New York,15,0,SUSPICIOUS,0
6.56,Food,Net Banking,Canada,Toronto,15,0,NORMAL,0
2034.48,Electronics,Net Banking,Germany,Berlin,15,0,NORMAL,0
426.4,Retail,Net Banking,UK,London,15,0,NORMAL,0
7397.31,Luxury,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
93.11,Transportation,Debit Card,India,Bangalore,15,0,NORMAL,0
889.4,Electronics,UPI,Germany,Berlin,15,0,NORMAL,0
3955.53,Electronics,Debit Card,Germany,Berlin,15,0,NORMAL,0
415.22,Retail,UPI,Singapore,Singapore,15,0,NORMAL,0
1769.26,Electronics,UPI,India,Mumbai,15,0,NORMAL,0
7779.53,Luxury,Credit Card,India,Mumbai,15,0,NORMAL,0
3478.74,Travel,Debit Card,Singapore,Singapore,15,0,SUSPICIOUS,0
437.63,Retail,Debit Card,Canada,Toronto,15,0,NORMAL,0
6533.05,Luxury,Credit Card,Russia,Moscow,15,0,FRAUD,1
1304.15,Travel,Net Banking,USA,New York,15,0,NORMAL,0
12.04,Food,Debit Card,UK,London,15,0,NORMAL,0
97.76,Retail,Credit Card,Canada,Toronto,15,0,NORMAL,0
1921.52,Electronics,Wallet,USA,New York,15,0,SUSPICIOUS,0
4834.98,Electronics,Wallet,USA,New York,15,0,NORMAL,0
441.43,Travel,UPI,India,Mumbai,15,0,NORMAL,0
2162.26,Electronics,Net Banking,India,Mumbai,15,0,SUSPICIOUS,0
2716.04,Electronics,UPI,India,Mumbai,15,0,NORMAL,0
223.71,Pharmacy,Credit Card,India,Mumbai,15,0,NORMAL,0
322.95,Retail,Net Banking,Canada,Toronto,15,0,NORMAL,0
171.07,Pharmacy,Credit Card,Singapore,Singapore,15,0,NORMAL,0
3040.79,Electronics,Debit Card,USA,New York,15,0,SUSPICIOUS,0
1764.34,Electronics,UPI,India,Bangalore,15,0,NORMAL,0
11.59,Gaming,Wallet,Singapore,Singapore,15,0,NORMAL,0
21.82,Transportation,Debit Card,Canada,Toronto,15,0,NORMAL,0
45.24,Gaming,UPI,UK,London,15,0,NORMAL,0
227.45,Pharmacy,Debit Card,Canada,Toronto,15,0,NORMAL,0
1694.7,Electronics,Credit Card,India,Bangalore,15,0,SUSPICIOUS,0
59.68,Pharmacy,Credit Card,Singapore,Singapore,15,0,NORMAL,0
1173.86,Travel,Net Banking,India,Mumbai,15,0,NORMAL,0
269.74,Retail,UPI,Germany,Berlin,15,0,NORMAL,0
195.29,Retail,Credit Card,India,Mumbai,15,0,NORMAL,0
74.05,Food,UPI,Germany,Berlin,15,0,NORMAL,0
40.87,Retail,Wallet,India,Bangalore,15,0,NORMAL,0
5783.03,Luxury,Credit Card,Iran,Tehran,15,0,FRAUD,1
372.73,Retail,Wallet,USA,Chicago,15,0,NORMAL,0
113.94,Gaming,UPI,USA,New York,15,0,NORMAL,0
12.46,Food,Debit Card,USA,Chicago,15,0,NORMAL,0
37.15,Food,Wallet,Canada,Toronto,15,0,NORMAL,0
4559.84,Electronics,UPI,Germany,Berlin,15,0,NORMAL,0
473.17,Travel,Wallet,Singapore,Singapore,15,0,NORMAL,0
2224.35,Electronics,Debit Card,Canada,Toronto,15,0,NORMAL,0
24.71,Gaming,UPI,India,Bangalore,15,0,NORMAL,0
1949.73,Travel,Credit Card,USA,New York,15,0,SUSPICIOUS,0
4014.11,Electronics,Net Banking,Singapore,Singapore,15,0,SUSPICIOUS,0
7150.8,Luxury,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
30.99,Food,Wallet,Canada,Toronto,15,0,NORMAL,0
66.41,Food,UPI,USA,New York,15,0,NORMAL,0
449.96,Retail,Wallet,USA,Chicago,15,0,NORMAL,0
19.04,Food,Net Banking,UK,London,15,0,NORMAL,0
26.23,Food,Net Banking,Singapore,Singapore,15,0,NORMAL,0
2239.78,Travel,Net Banking,UK,London,15,0,NORMAL,0
1773.19,Travel,Credit Card,India,Bangalore,15,0,NORMAL,0
2273.54,Electronics,Net Banking,UK,London,15,0,NORMAL,0
69.58,Gaming,Credit Card,India,Mumbai,15,0,NORMAL,0
3493.17,Electronics,UPI,UK,London,15,0,NORMAL,0
2593.31,Electronics,Wallet,USA,New York,15,0,NORMAL,0
18.44,Transportation,Debit Card,Germany,Berlin,15,0,NORMAL,0
110.58,Retail,Credit Card,India,Bangalore,15,0,NORMAL,0
102.79,Retail,Credit Card,Canada,Toronto,15,0,NORMAL,0
22.99,Retail,Net Banking,India,Bangalore,15,0,NORMAL,0
444.86,Electronics,Wallet,USA,New York,15,0,NORMAL,0
1740.01,Electronics,Net Banking,Canada,Toronto,15,0,SUSPICIOUS,0
2200.82,Travel,Debit Card,Singapore,Singapore,15,0,NORMAL,0
4471.95,Electronics,UPI,Singapore,Singapore,15,0,NORMAL,0
72.47,Fuel,Debit Card,India,Mumbai,15,0,NORMAL,0
88.73,Gaming,Debit Card,USA,Chicago,15,0,NORMAL,0
42.77,Food,UPI,Canada,Toronto,15,0,NORMAL,0
118.41,Retail,Wallet,USA,Chicago,15,0,NORMAL,0
70.41,Food,Wallet,UK,London,15,0,NORMAL,0
119.55,Transportation,Net Banking,Canada,Toronto,15,0,NORMAL,0
7448.26,Electronics,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
1909.61,Travel,Debit Card,Germany,Berlin,15,0,NORMAL,0
9.41,Food,UPI,India,Mumbai,15,0,NORMAL,0
109.87,Fuel,Credit Card,Germany,Berlin,15,0,NORMAL,0
2289.14,Travel,UPI,Germany,Berlin,15,0,NORMAL,0
1331.51,Travel,Wallet,Germany,Berlin,15,0,NORMAL,0
4137.1,Travel,UPI,India,Mumbai,15,0,SUSPICIOUS,0
64.18,Food,Wallet,UK,London,15,0,NORMAL,0
4481.58,Luxury,UPI,India,Mumbai,15,0,SUSPICIOUS,0
7722.28,Luxury,Wallet,Canada,Toronto,15,0,NORMAL,0
6.96,Food,Net Banking,India,Mumbai,15,0,NORMAL,0
472.33,Retail,Credit Card,Germany,Berlin,15,0,NORMAL,0
1550.8,Electronics,UPI,UK,London,15,0,SUSPICIOUS,0
145.91,Gaming,Wallet,Canada,Toronto,15,0,NORMAL,0
3833.84,Luxury,Credit Card,India,Bangalore,15,0,NORMAL,0
12.4,Transportation,Debit Card,USA,Chicago,15,0,NORMAL,0
3774.32,Travel,Wallet,USA,New York,15,0,SUSPICIOUS,0
136.28,Pharmacy,UPI,Germany,Berlin,15,0,NORMAL,0
71.55,Food,Wallet,India,Mumbai,15,0,NORMAL,0
6033.6,Electronics,Credit Card,Iran,Tehran,15,0,FRAUD,1
59.26,Transportation,UPI,UK,London,15,0,NORMAL,0
1696.26,Electronics,UPI,Singapore,Singapore,15,0,NORMAL,0
913.19,Travel,Net Banking,Canada,Toronto,15,0,NORMAL,0
3964.17,Electronics,Credit Card,Iran,Tehran,15,0,FRAUD,1
2782.03,Travel,UPI,India,Bangalore,15,0,NORMAL,0
3985.31,Luxury,Credit Card,North Korea,Pyongyang,15,0,FRAUD,1
39.51,Food,Credit Card,India,Bangalore,15,0,NORMAL,0
5438.64,Luxury,UPI,Germany,Berlin,15,0,NORMAL,0
